"Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","year","yeargroup"
180,"Blake Griffin","PF",24,"LAC",80,2863,23.9,0.583,0.032,0.496,7.7,21.2,14.7,19.2,1.6,1.4,11.9,29,8.1,4.1,12.2,0.205,3,1.6,4.6,4.8,2014,2017
183,"Justin Hamilton","C",23,"TOT",8,72,11.9,0.586,0.45,0.25,7.2,5,6.1,0,3.6,0,15.3,17.4,0.1,0.1,0.1,0.089,-1.2,-2.8,-4,0,2014,2017
185,"Tim Hardaway","SG",21,"NYK",81,1875,12.7,0.554,0.521,0.186,1.2,6.6,3.8,5.8,1.2,0.3,5.9,19.6,2.7,0.4,3.1,0.08,1.3,-3.5,-2.3,-0.1,2014,2017
186,"James Harden","SG",24,"HOU",73,2777,23.5,0.618,0.401,0.552,2.6,10.7,6.9,27.3,2.1,0.8,15,27.8,10.1,2.7,12.8,0.221,6.2,-0.5,5.7,5.4,2014,2017
187,"Maurice Harkless","SF",20,"ORL",80,1950,11.8,0.542,0.319,0.296,4,11.4,7.7,6.4,2.6,2,13.6,14.8,0.6,2.1,2.8,0.068,-1.6,1.5,0,1,2014,2017
190,"Devin Harris","PG",30,"DAL",40,818,14.6,0.517,0.398,0.453,1.1,10.8,6,31,1.8,0.2,16.2,20.2,1.2,0.4,1.6,0.094,0.5,-2.1,-1.6,0.1,2014,2017
192,"Manny Harris","SG",24,"LAL",9,180,10.9,0.485,0.286,0.171,4.1,16,10.1,9.5,1.1,0.4,10.7,20.4,-0.1,0.1,0,0.002,-2.9,-2,-4.9,-0.1,2014,2017
194,"Tobias Harris","PF",21,"ORL",61,1850,16.5,0.542,0.176,0.341,5.4,20.6,13,7.7,1.1,1,8.7,22.2,2.4,1.7,4.1,0.107,-0.8,-1,-1.7,0.1,2014,2017
195,"Udonis Haslem","PF",33,"MIA",46,653,10.5,0.523,0,0.301,8.4,24.7,16.8,2.9,0.9,2,12.7,13.9,0.3,0.8,1.1,0.083,-4.1,-0.7,-4.9,-0.5,2014,2017
196,"Spencer Hawes","C",25,"TOT",80,2470,15.7,0.554,0.349,0.172,5.6,24.2,14.6,15.8,0.9,3.1,15.4,19.6,2.2,2.3,4.5,0.088,-0.4,0.9,0.5,1.6,2014,2017
