"Rk","Pick","Team","Player","Draft"
"14","14","PHO","Earl Clark",2009
"15","15","DET","Austin Daye",2009
"16","16","CHI","James Johnson",2009
"17","17","PHI","Jrue Holiday",2009
"18","18","MIN","Ty Lawson",2009
"19","19","ATL","Jeff Teague",2009
"20","20","UTA","Eric Maynor",2009
"21","21","NOH","Darren Collison",2009
"22","22","POR","Victor Claver",2009
"23","23","SAC","Omri Casspi",2009
"24","24","DAL","Byron Mullens",2009
"25","25","OKC","Rodrigue Beaubois",2009
"26","26","CHI","Taj Gibson",2009
"27","27","MEM","DeMarre Carroll",2009
"28","28","MIN","Wayne Ellington",2009
"29","29","LAL","Toney Douglas",2009
"30","30","CLE","Christian Eyenga",2009
"31","31","SAC","Jeff Pendergraph",2009
"32","32","WAS","Jermaine Taylor",2009
"33","33","POR","Dante Cunningham",2009
"34","34","DEN","Sergio Llull",2009
"35","35","DET","DaJuan Summers",2009
"36","36","MEM","Sam Young",2009
"37","37","SAS","DeJuan Blair",2009
"38","38","POR","Jon Brockman",2009
"39","39","DET","Jonas Jerebko",2009
"40","40","CHA","Derrick Brown",2009
"41","41","MIL","Jodie Meeks",2009
"42","42","LAL","Patrick Beverley",2009
"43","43","MIA","Marcus Thornton",2009
"44","44","DET","Chase Budinger",2009
"45","45","MIN","Nick Calathes",2009
"46","46","CLE","Danny Green",2009
"47","47","MIN","Henk Norel",2009
"48","48","PHO","Taylor Griffin",2009
"49","49","ATL","Sergiy Gladyr",2009
"50","50","UTA","Goran Suton",2009
"51","51","SAS","Jack McClinton",2009
"52","52","IND","A.J. Price",2009
"53","53","SAS","Nando De Colo",2009
"54","54","CHA","Robert Vaden",2009
"55","55","POR","Patrick Mills",2009
"56","56","DAL","Ahmad Nivins",2009
"57","57","PHO","Emir Preldzic",2009
"58","58","BOS","Lester Hudson",2009
"59","59","LAL","Chinemelu Elonu",2009
"60","60","MIA","Robert Dozier",2009
"1","1","WAS","John Wall",2010
"2","2","PHI","Evan Turner",2010
"3","3","NJN","Derrick Favors",2010
"4","4","MIN","Wesley Johnson",2010
"5","5","SAC","DeMarcus Cousins",2010
"6","6","GSW","Ekpe Udoh",2010
"7","7","DET","Greg Monroe",2010
"8","8","LAC","Al-Farouq Aminu",2010
"9","9","UTA","Gordon Hayward",2010
"10","10","IND","Paul George",2010
"11","11","NOH","Cole Aldrich",2010
"12","12","MEM","Xavier Henry",2010
"13","13","TOR","Ed Davis",2010
"14","14","HOU","Patrick Patterson",2010
"15","15","MIL","Larry Sanders",2010
"16","16","MIN","Luke Babbitt",2010
"17","17","CHI","Kevin Seraphin",2010
"18","18","OKC","Eric Bledsoe",2010
"19","19","BOS","Avery Bradley",2010
"20","20","SAS","James Anderson",2010
"21","21","OKC","Craig Brackins",2010
"22","22","POR","Elliot Williams",2010
"23","23","MIN","Trevor Booker",2010
"24","24","ATL","Damion James",2010
"25","25","MEM","Dominique Jones",2010
"26","26","OKC","Quincy Pondexter",2010
"27","27","NJN","Jordan Crawford",2010
"28","28","MEM","Greivis Vasquez",2010
"29","29","ORL","Daniel Orton",2010
"30","30","WAS","Lazar Hayward",2010
"31","31","NJN","Tibor Pleiss",2010
"32","32","MIA","Dexter Pittman",2010
"33","33","SAC","Hassan Whiteside",2010
"34","34","POR","Armon Johnson",2010
"35","35","WAS","Nemanja Bjelica",2010
"36","36","DET","Terrico White",2010
"37","37","MIL","Darington Hobson",2010
"38","38","NYK","Andy Rautins",2010
"39","39","NYK","Landry Fields",2010
"40","40","IND","Lance Stephenson",2010
"41","41","MIA","Jarvis Varnado",2010
"42","42","MIA","Da'Sean Butler",2010
"43","43","LAL","Devin Ebanks",2010
"44","44","MIL","Jerome Jordan",2010
"45","45","MIN","Paulao Prestes",2010
"46","46","PHO","Gani Lawal",2010
"47","47","MIL","Tiny Gallon",2010
"48","48","MIA","Latavious Williams",2010
"49","49","SAS","Ryan Richards",2010
"50","50","DAL","Solomon Alabi",2010
"51","51","OKC","Magnum Rolle",2010
"52","52","BOS","Luke Harangody",2010
"53","53","ATL","Pape Sy",2010
"54","54","LAC","Willie Warren",2010
"55","55","UTA","Jeremy Evans",2010
"56","56","MIN","Hamady N'Diaye",2010
"57","57","IND","Ryan Reid",2010
"58","58","LAL","Derrick Caracter",2010
"59","59","ORL","Stanley Robinson",2010
"60","60","PHO","Dwayne Collins",2010
"1","1","CLE","Kyrie Irving",2011
"2","2","MIN","Derrick Williams",2011
"3","3","UTA","Enes Kanter",2011
"4","4","CLE","Tristan Thompson",2011
"5","5","TOR","Jonas Valanciunas",2011
"6","6","WAS","Jan Vesely",2011
"7","7","SAC","Bismack Biyombo",2011
"8","8","DET","Brandon Knight",2011
"9","9","CHA","Kemba Walker",2011
"10","10","MIL","Jimmer Fredette",2011
"11","11","GSW","Klay Thompson",2011
"12","12","UTA","Alec Burks",2011
"13","13","PHO","Markieff Morris",2011
"14","14","HOU","Marcus Morris",2011
"15","15","IND","Kawhi Leonard",2011
"16","16","PHI","Nikola Vucevic",2011
"17","17","NYK","Iman Shumpert",2011
"18","18","WAS","Chris Singleton",2011
"19","19","CHA","Tobias Harris",2011
"20","20","MIN","Donatas Motiejunas",2011
"21","21","POR","Nolan Smith",2011
"22","22","DEN","Kenneth Faried",2011
"23","23","HOU","Nikola Mirotic",2011
"24","24","OKC","Reggie Jackson",2011
"25","25","BOS","MarShon Brooks",2011
"26","26","DAL","Jordan Hamilton",2011
"27","27","NJN","JaJuan Johnson",2011
"28","28","CHI","Norris Cole",2011
"29","29","SAS","Cory Joseph",2011
"30","30","CHI","Jimmy Butler",2011
"31","31","MIA","Bojan Bogdanovic",2011
"32","32","CLE","Justin Harper",2011
"33","33","DET","Kyle Singler",2011
"34","34","WAS","Shelvin Mack",2011
"35","35","SAC","Tyler Honeycutt",2011
