"Player","Depth","Team","teamAbbr","total_MP","G","GS","GSpct","MP_per_game","WS","BPM","Pick","imputed"
"I. Anigbogu",2,"Indiana","IND",30,11,0,0,2.72727272727273,0.1,-5.4,47,0
"E. Sumner",3,"Indiana","IND",2,1,0,0,2,0,-5.3,52,0
"T. Leaf",3,"Indiana","IND",459,53,0,0,8.66037735849057,0.8,-4.8,18,0
"A. Holiday",3,"Indiana","IND",630.778027751656,47.1842227689631,3.27205713689766,0.0693464243952738,13.3684098356404,0.811450719561049,-2.89642072929568,23,1
"Alize Johnson",3,"Indiana","IND",318.163802877262,31.1320896697398,0.479746885689848,0.0154100444518557,10.2198023406863,0.270390881392781,-4.07590865685265,50,1
"P. Beverley",1,"LA Clippers","LAC",4433,149,141,0.946308724832215,29.751677852349,4.5164448454771,1.6194225129709,0,0
"A. Bradley",1,"LA Clippers","LAC",5804,177,173,0.977401129943503,32.7909604519774,3.02803239145417,-1.10766712611992,0,0
"D. Gallinari",1,"LA Clippers","LAC",4644,137,137,1,33.8978102189781,5.79287252368648,0.64052540913006,0,0
"T. Harris",1,"LA Clippers","LAC",7748,238,202,0.848739495798319,32.5546218487395,6.70069695405266,0.96295818275684,0,0
"M. Gortat",1,"LA Clippers","LAC",6887,239,238,0.99581589958159,28.81589958159,6.39133149411936,0.594816320604037,0,0
"M. Teodosic",2,"LA Clippers","LAC",1134,45,36,0.8,25.2,1.4,-1.4,0,0
"L. Williams",2,"LA Clippers","LAC",6490,227,55,0.242290748898678,28.5903083700441,5.92798151001541,0.73286594761171,0,0
"L. Mbah a Moute",2,"LA Clippers","LAC",4625,216,152,0.703703703703704,21.412037037037,2.58536216216216,-0.17027027027027,0,0
"M. Scott",2,"LA Clippers","LAC",2747,169,1,0.00591715976331361,16.2544378698225,2.60746268656716,-1.80374954495814,0,0
"M. Harrell",2,"LA Clippers","LAC",2736,173,18,0.104046242774566,15.8150289017341,4.31834795321637,1.22101608187134,0,0
"W. Johnson",3,"LA Clippers","LAC",3962,222,52,0.234234234234234,17.8468468468468,1.91489146895507,-0.0452296819787986,0,0
"J. Motley",3,"LA Clippers","LAC",176,11,4,0.363636363636364,16,0.3,-4.9,0,0
"B. Marjanovic",3,"LA Clippers","LAC",1138,128,5,0.0390625,8.890625,2.39964850615114,1.45509666080844,0,0
"S. Gilgeous-Alexander",3,"LA Clippers","LAC",1181.56811615262,64.2571833943641,15.6435003097584,0.243451385252134,18.3881093713836,1.02443272856081,-2.76867200404799,11,1
"J. Robinson",3,"LA Clippers","LAC",1052.75520633902,61.8333857299178,11.0458284933484,0.178638584365984,17.025676241268,0.926676361044169,-2.89423946983384,13,1
"Jawun Evans",4,"LA Clippers","LAC",778,48,4,0.0833333333333333,16.2083333333333,-0.2,-4.7,0,0
"T. Wallace",4,"LA Clippers","LAC",851,30,19,0.633333333333333,28.3666666666667,0.7,-2,60,0
"S. Thornwell",5,"LA Clippers","LAC",1156,73,17,0.232876712328767,15.8356164383562,1,-1.6,48,0
"R. Rondo",1,"LA Lakers","LAL",6085,206,177,0.859223300970874,29.5388349514563,3.62318816762531,0.199572719802794,0,0
"K. Caldwell-Pope",1,"LA Lakers","LAL",7776,226,225,0.995575221238938,34.4070796460177,5.03981481481481,1.00334362139918,0,0
"L. James",1,"LA Lakers","LAL",8529,232,232,1,36.7629310344828,13.5126040567476,9.04808301090397,0,0
"B. Ingram",1,"LA Lakers","LAL",4254,138,99,0.717391304347826,30.8260869565217,1.13923366243535,-2.63932769158439,2,0
"J. McGee",1,"LA Lakers","LAL",1724,176,29,0.164772727272727,9.79545454545454,2.69953596287703,0.519257540603248,0,0
"L. Ball",2,"LA Lakers","LAL",1780,52,50,0.961538461538462,34.2307692307692,2,1.7,2,0
"J. Hart",2,"LA Lakers","LAL",1461,63,23,0.365079365079365,23.1904761904762,3.4,-0.1,30,0
"L. Stephenson",2,"LA Lakers","LAL",3583,169,20,0.118343195266272,21.2011834319527,1.78188668713369,-2.16444320401898,0,0
"K. Kuzma",2,"LA Lakers","LAL",2401,77,37,0.480519480519481,31.1818181818182,3.8,-1.3,27,0
"I. Zubac",2,"LA Lakers","LAL",1019,81,11,0.135802469135802,12.5802469135802,1.05976447497547,-2.3792934249264,32,0
"Michael Beasley",3,"LA Lakers","LAL",2951,150,36,0.24,19.6733333333333,2.0376821416469,-2.17729583192138,0,0
"I. Bonga",3,"LA Lakers","LAL",430.458758492588,38.0699065027412,0.880878403039403,0.0231384440877462,11.3070610893566,0.39289332011486,-3.41698225085683,39,1
"S. Mykhailiuk",3,"LA Lakers","LAL",370.263155400846,33.5143589137481,0.594342001202191,0.0177339510724874,11.0478961078667,0.295461957028043,-3.81684884994675,47,1
